alg	metric	reduceTime	priorTime	CE	RFFS	RFFT	origExecTime	redExecTime	totalSize	redSize	app
GRD	coverage	0.0	1.0	0.529411792755127	0.9	0.5130830574942135	17.54101966249685	8.54101966249685	10.0	1.0	Gl
GRD	time	1.0	1.0	0.7320261597633362	0.1	0.48691694250578654	17.54101966249685	9.0	10.0	9.0	Gl
GRD	ratio	2.0	2.0	0.529411792755127	0.9	0.5130830574942135	17.54101966249685	8.54101966249685	10.0	1.0	Gl
2OPT	coverage	2.0	345.0	0.5228758454322815	0.8	0.45607382888374526	17.54101966249685	9.54101966249685	10.0	2.0	Gl
2OPT	time	0.0	9.0	0.7320261597633362	0.0	0.0	17.54101966249685	17.54101966249685	10.0	10.0	Gl
2OPT	ratio	2.0	8.0	0.7320261597633362	0.0	0.0	17.54101966249685	17.54101966249685	10.0	10.0	Gl
HGS	coverage	0.0	0.0	0.529411792755127	0.9	0.5130830574942135	17.54101966249685	8.54101966249685	10.0	1.0	Gl
HGS	time	0.0	1.0	0.7320261597633362	0.1	0.48691694250578654	17.54101966249685	9.0	10.0	9.0	Gl
HGS	ratio	0.0	0.0	0.529411792755127	0.9	0.5130830574942135	17.54101966249685	8.54101966249685	10.0	1.0	Gl
DGR	coverage	0.0	10.0	0.529411792755127	0.9	0.5130830574942135	17.54101966249685	8.54101966249685	10.0	1.0	Gl
DGR	time	1.0	17.0	0.529411792755127	0.9	0.5130830574942135	17.54101966249685	8.54101966249685	10.0	1.0	Gl
DGR	ratio	1.0	10.0	0.529411792755127	0.9	0.5130830574942135	17.54101966249685	8.54101966249685	10.0	1.0	Gl
