alg	metric	reduceTime	priorTime	CE	RFFS	RFFT	origExecTime	redExecTime	totalSize	redSize	app
GRD	coverage	136.0	207.0	0.9696249961853027	0.6082474226804123	0.7594658155551822	59530.0	14319.0	291.0	114.0	data/raise/reduce/setCovers/ADMatrix.dat
GRD	time	3.0	9.0	0.9847402572631836	0.024054982817869417	0.5564925247774232	59530.0	26402.0	291.0	284.0	data/raise/reduce/setCovers/ADMatrix.dat
GRD	ratio	179.0	254.0	0.9966244697570801	0.5326460481099656	0.8930455232655804	59530.0	6367.0	291.0	136.0	data/raise/reduce/setCovers/ADMatrix.dat
2OPT	coverage	2385.0	4041.0	0.9690968990325928	0.6082474226804123	0.7594658155551822	59530.0	14319.0	291.0	114.0	data/raise/reduce/setCovers/ADMatrix.dat
2OPT	time	696.0	815.0	0.9848900437355042	0.024054982817869417	0.5564925247774232	59530.0	26402.0	291.0	284.0	data/raise/reduce/setCovers/ADMatrix.dat
2OPT	ratio	7094.0	7694.0	0.9966103434562683	0.422680412371134	0.8926759616999832	59530.0	6389.0	291.0	168.0	data/raise/reduce/setCovers/ADMatrix.dat
HGS	coverage	13.0	39.0	0.9471835494041443	0.6116838487972509	0.7598185788677978	59530.0	14298.0	291.0	113.0	data/raise/reduce/setCovers/ADMatrix.dat
HGS	time	2.0	20.0	0.9507104754447937	0.6082474226804123	0.8935494708550311	59530.0	6337.0	291.0	114.0	data/raise/reduce/setCovers/ADMatrix.dat
HGS	ratio	3.0	20.0	0.9500792622566223	0.6082474226804123	0.827515538384008	59530.0	10268.0	291.0	114.0	data/raise/reduce/setCovers/ADMatrix.dat
DGR	coverage	140.0	883.0	0.927476167678833	0.6116838487972509	0.7739123131194355	59530.0	13459.0	291.0	113.0	data/raise/reduce/setCovers/ADMatrix.dat
DGR	time	84.0	893.0	0.927476167678833	0.6116838487972509	0.7739123131194355	59530.0	13459.0	291.0	113.0	data/raise/reduce/setCovers/ADMatrix.dat
DGR	ratio	87.0	859.0	0.927476167678833	0.6116838487972509	0.7739123131194355	59530.0	13459.0	291.0	113.0	data/raise/reduce/setCovers/ADMatrix.dat
RND	coverage	-1.0	1.0	0.5872509479522705	-1.0	-1.0	59530.0	-1.0	291.0	-1.0	data/raise/reduce/setCovers/ADMatrix.dat
RND	time	-1.0	0.0	0.7008711695671082	-1.0	-1.0	59530.0	-1.0	291.0	-1.0	data/raise/reduce/setCovers/ADMatrix.dat
RND	ratio	-1.0	1.0	0.7050806879997253	-1.0	-1.0	59530.0	-1.0	291.0	-1.0	data/raise/reduce/setCovers/ADMatrix.dat
